language,owner,name,kind,signature,returns,description
python,builtin,list,function,(iterable=()),list,"Creates a mutable list from the items in an iterable."
python,builtin,locals,function,(),dict,"Returns a mapping representing the current local namespace."
python,builtin,map,function,"(function, *iterables)",map,"Lazily applies a function to items drawn in parallel from one or more iterables."
python,builtin,max,function,"(iterable, *[, key, default])",Any,"Returns the largest item, optionally using a key function and empty-iterable default."
python,builtin,memoryview,function,(object),memoryview,"Creates a view over an object's binary buffer without copying its data."
python,builtin,min,function,"(iterable, *[, key, default])",Any,"Returns the smallest item, optionally using a key function and empty-iterable default."
python,builtin,next,function,"(iterator, default=…)",Any,"Returns the next iterator item or an optional default when the iterator is exhausted."
python,builtin,object,function,(),object,"Creates a new base object with no instance attributes."
python,builtin,oct,function,(number),str,"Converts an integer-like value to an octal string prefixed with 0o."
python,builtin,open,function,"(file, mode='r', buffering=-1, encoding=None, errors=None, newline=None, closefd=True, opener=None)",file,"Opens a file and returns a text or binary stream according to the requested mode."
python,builtin,ord,function,(character),int,"Returns the Unicode code point of a one-character string."
python,builtin,pow,function,"(base, exponent, modulus=None)",number,"Raises base to a power, optionally computing the result efficiently modulo an integer."
python,builtin,print,function,"(*objects, sep=' ', end='\n', file=None, flush=False)",None,"Writes objects as text with configurable separators, ending, destination, and flushing."
python,builtin,property,function,"(fget=None, fset=None, fdel=None, doc=None)",property,"Creates a managed class attribute backed by getter, setter, and deleter functions."
python,builtin,range,function,"(stop) or (start, stop, step=1)",range,"Creates an immutable sequence of evenly spaced integers."
python,builtin,repr,function,(object),str,"Returns an official string representation intended to be unambiguous when possible."
python,builtin,reversed,function,(sequence),Iterator,"Returns a reverse iterator over a reversible object."
python,builtin,round,function,"(number, ndigits=None)",number,"Rounds a number to a requested number of decimal digits."
python,builtin,set,function,(iterable=()),set,"Creates a mutable set containing unique items from an iterable."
python,builtin,setattr,function,"(object, name, value)",None,"Assigns a value to a named attribute on an object."
python,builtin,slice,function,"(stop) or (start, stop, step=None)",slice,"Creates a slice object describing a start, stop, and step."
python,builtin,sorted,function,"(iterable, *, key=None, reverse=False)",list,"Returns a new sorted list from an iterable."
python,builtin,staticmethod,function,(function),staticmethod,"Wraps a function so it receives no automatic instance or class argument."
python,builtin,str,function,(object=''),str,"Creates a human-readable text representation of an object."
python,builtin,sum,function,"(iterable, start=0)",number,"Adds items from left to right starting with an optional initial value."
python,builtin,super,function,"(type=None, object_or_type=None)",super,"Creates a proxy that searches for methods after a class in the method-resolution order."
python,builtin,tuple,function,(iterable=()),tuple,"Creates an immutable tuple from the items in an iterable."
python,builtin,type,function,"(object) or (name, bases, namespace)",type,"Returns an object's type or dynamically creates a class."
python,builtin,vars,function,(object=None),dict,"Returns the attribute dictionary for an object or the current local namespace."
python,builtin,zip,function,"(*iterables, strict=False)",zip,"Lazily groups items from multiple iterables by position."
python,str,capitalize,method,(),str,"Returns a copy with the first character capitalized and the rest lowercased."
python,str,casefold,method,(),str,"Returns an aggressively lowercased copy suitable for caseless comparisons."
python,str,center,method,"(width, fillchar=' ')",str,"Centers the text in a field of width characters using an optional one-character fill."
python,str,count,method,"(sub[, start[, end]])",int,"Counts non-overlapping occurrences of sub within the optional slice."
python,str,encode,method,"(encoding='utf-8', errors='strict')",bytes,"Encodes the text into bytes using the requested codec and error policy."
python,str,endswith,method,"(suffix[, start[, end]])",bool,"Checks whether the text or optional slice ends with a suffix or tuple of suffixes."
python,str,expandtabs,method,(tabsize=8),str,"Replaces tab characters with spaces using the requested tab-stop width."
python,str,find,method,"(sub[, start[, end]])",int,"Returns the lowest index of sub in the optional slice or -1 when it is absent."
python,str,format,method,"(*args, **kwargs)",str,"Formats replacement fields in the string using positional and named values."
python,str,format_map,method,(mapping),str,"Formats named replacement fields using values read directly from a mapping."
python,str,index,method,"(sub[, start[, end]])",int,"Returns the lowest index of sub or raises ValueError when it is absent."
python,str,isalnum,method,(),bool,"Checks that the string is nonempty and every character is alphanumeric."
python,str,isalpha,method,(),bool,"Checks that the string is nonempty and every character is alphabetic."
python,str,isascii,method,(),bool,"Checks that the string is empty or every character is ASCII."
python,str,isdecimal,method,(),bool,"Checks that the string is nonempty and every character is a decimal character."
python,str,isdigit,method,(),bool,"Checks that the string is nonempty and every character is a digit."
python,str,isidentifier,method,(),bool,"Checks whether the string is a valid Python identifier; keywords still count as identifiers."
python,str,islower,method,(),bool,"Checks that all cased characters are lowercase and at least one cased character exists."
python,str,isnumeric,method,(),bool,"Checks that the string is nonempty and every character is numeric."
python,str,isprintable,method,(),bool,"Checks that the string is empty or contains only printable characters."
python,str,isspace,method,(),bool,"Checks that the string is nonempty and every character is whitespace."
python,str,istitle,method,(),bool,"Checks that cased words use title case and at least one cased character exists."
python,str,isupper,method,(),bool,"Checks that all cased characters are uppercase and at least one cased character exists."
python,str,join,method,(iterable),str,"Combines an iterable of strings with this string placed between each item."
python,str,ljust,method,"(width, fillchar=' ')",str,"Left-aligns the text in a field of width characters using an optional fill."
python,str,lower,method,(),str,"Returns a copy with all cased characters converted to lowercase."
python,str,lstrip,method,(chars=None),str,"Removes leading whitespace or leading characters found in chars."
python,str,maketrans,method,"(x[, y[, z]])",dict,"Builds a character translation table for use with translate."
python,str,partition,method,(sep),"tuple[str, str, str]","Splits once at the first separator and returns before, separator, and after parts."
python,str,removeprefix,method,(prefix),str,"Removes prefix when present; otherwise returns the original string unchanged."
python,str,removesuffix,method,(suffix),str,"Removes suffix when present; otherwise returns the original string unchanged."
python,str,replace,method,"(old, new, count=-1)",str,"Returns a copy with occurrences of old replaced by new, optionally limiting replacements."
python,str,rfind,method,"(sub[, start[, end]])",int,"Returns the highest index of sub in the optional slice or -1 when absent."
python,str,rindex,method,"(sub[, start[, end]])",int,"Returns the highest index of sub or raises ValueError when it is absent."
python,str,rjust,method,"(width, fillchar=' ')",str,"Right-aligns the text in a field of width characters using an optional fill."
python,str,rpartition,method,(sep),"tuple[str, str, str]","Splits once at the last separator and returns before, separator, and after parts."
python,str,rsplit,method,"(sep=None, maxsplit=-1)","list[str]","Splits from the right and returns a list, optionally limiting the number of splits."
python,str,rstrip,method,(chars=None),str,"Removes trailing whitespace or trailing characters found in chars."
python,str,split,method,"(sep=None, maxsplit=-1)","list[str]","Splits the string into a list using a separator or runs of whitespace."
python,str,splitlines,method,(keepends=False),"list[str]","Splits at line boundaries and optionally keeps the line-ending characters."
python,str,startswith,method,"(prefix[, start[, end]])",bool,"Checks whether the text or optional slice begins with a prefix or tuple of prefixes."
python,str,strip,method,(chars=None),str,"Removes leading and trailing whitespace or characters found in chars."
python,str,swapcase,method,(),str,"Returns a copy with uppercase characters lowercased and lowercase characters uppercased."
python,str,title,method,(),str,"Returns a title-cased copy in which words begin with uppercase characters."
python,str,translate,method,(table),str,"Maps or removes characters according to a translation table."
python,str,upper,method,(),str,"Returns a copy with all cased characters converted to uppercase."
python,str,zfill,method,(width),str,"Pads a numeric string on the left with zeroes while preserving a leading sign."
python,list,append,method,(object),None,"Adds one object to the end of the list in place."
python,list,clear,method,(),None,"Removes every item from the list in place."
python,list,copy,method,(),list,"Returns a shallow copy of the list."
python,list,count,method,(value),int,"Counts how many list items compare equal to value."
python,list,extend,method,(iterable),None,"Adds every item from an iterable to the end of the list in place."
python,list,index,method,"(value, start=0, stop=sys.maxsize)",int,"Returns the first index of value in the requested range or raises ValueError."
python,list,insert,method,"(index, object)",None,"Inserts one object before the requested index in place."
python,list,pop,method,(index=-1),Any,"Removes and returns the item at index; the last item is used by default."
python,list,remove,method,(value),None,"Removes the first item equal to value or raises ValueError when absent."
python,list,reverse,method,(),None,"Reverses the order of the list in place."
python,list,sort,method,"(*, key=None, reverse=False)",None,"Sorts the list in place using an optional key function and descending order."
python,file,close,method,(),None,"Flushes buffered data and closes the file; further I/O operations will fail."
python,file,detach,method,(),BinaryIO,"Separates and returns the underlying binary buffer, leaving the text wrapper unusable."
python,file,fileno,method,(),int,"Returns the operating-system file descriptor used by the stream."
python,file,flush,method,(),None,"Writes buffered output to the underlying file immediately."
python,file,isatty,method,(),bool,"Checks whether the stream is connected to an interactive terminal."
python,file,read,method,(size=-1),str,"Reads and returns up to size characters, or all remaining text when size is omitted."
python,file,readable,method,(),bool,"Checks whether the stream supports reading."
python,file,readline,method,(size=-1),str,"Reads and returns one line, optionally limited to size characters."
python,file,readlines,method,(hint=-1),"list[str]","Reads lines into a list, optionally stopping after approximately hint characters."
python,file,reconfigure,method,"(*, encoding=None, errors=None, newline=None, line_buffering=None, write_through=None)",None,"Changes supported text-stream encoding, newline, error, and buffering settings."
python,file,seek,method,"(offset, whence=0)",int,"Moves the stream position relative to the start, current position, or end and returns the new position."
python,file,seekable,method,(),bool,"Checks whether the stream supports changing its position."
python,file,tell,method,(),int,"Returns the current stream position."
python,file,truncate,method,(size=None),int,"Resizes the file to size or the current position and returns the resulting size."
python,file,writable,method,(),bool,"Checks whether the stream supports writing."
python,file,write,method,(text),int,"Writes text to the stream and returns the number of characters accepted."
python,file,writelines,method,(lines),None,"Writes an iterable of strings without adding separators or newline characters."
python,file,buffer,attribute,,BinaryIO,"The underlying buffered binary stream for a text file."
python,file,closed,attribute,,bool,"True after the file has been closed."
python,file,encoding,attribute,,str,"The character encoding used by this text stream."
python,file,errors,attribute,,str,"The configured encoding-error handling policy."
python,file,line_buffering,attribute,,bool,"Whether output is automatically flushed at line boundaries."
python,file,mode,attribute,,str,"The mode originally used to open the file."
python,file,name,attribute,,"str | int","The file name or descriptor supplied when the stream was opened."
python,file,newlines,attribute,,"None | str | tuple[str, ...]","The newline forms encountered while reading in universal-newline mode."
python,file,write_through,attribute,,bool,"Whether text writes pass immediately to the underlying binary buffer."
